start,end,surface,display_label,specificity,entity_type,source,canonical,term_id,domain,match_policy,value,unit,confidence,count,context
1622,1641,методов определения,Method,generic,Method,heuristic_phrase,,,,,,,0.55,2,ости проведения измерений для определения напряженнодеформированного состояния (далее НДС); - Обзор методов определения НДС и их применимости в различных условиях; - Прогноз НДС на основе литолого-структурного строения
1642,1645,НДС,Metric:НДС,specific,Metric,ontology,НДС,underground:StressStrainState,underground_mining,exact_phrase,,,1.0,0,рений для определения напряженнодеформированного состояния (далее НДС); - Обзор методов определения НДС и их применимости в различных условиях; - Прогноз НДС на основе литолого-структурного строения Нори
1696,1699,НДС,Metric:НДС,specific,Metric,ontology,НДС,underground:StressStrainState,underground_mining,exact_phrase,,,1.0,0,"яния (далее НДС); - Обзор методов определения НДС и их применимости в различных условиях; - Прогноз НДС на основе литолого-структурного строения Норильского района и, в частности, Талнахского месторожден"
1741,1752,Норильского,MineObject,generic,MineObject,heuristic_word,,,,,,,0.85,1,"НДС и их применимости в различных условиях; - Прогноз НДС на основе литолого-структурного строения Норильского района и, в частности, Талнахского месторождения; - Постановка задачи для измерения НДС и обоснован"
1776,1801,Талнахского месторождения,MineObject,generic,MineObject,heuristic_phrase,,,,,,,0.55,2,"условиях; - Прогноз НДС на основе литолого-структурного строения Норильского района и, в частности, Талнахского месторождения; - Постановка задачи для измерения НДС и обоснование параметров метода с использованием численного"
1827,1836,измерения,Process,generic,Process,heuristic_word,,,,,,,0.85,4,"ного строения Норильского района и, в частности, Талнахского месторождения; - Постановка задачи для измерения НДС и обоснование параметров метода с использованием численного моделирования в CAE Fidesys; - Оцен"
1837,1840,НДС,Metric:НДС,specific,Metric,ontology,НДС,underground:StressStrainState,underground_mining,exact_phrase,,,1.0,0,"ния Норильского района и, в частности, Талнахского месторождения; - Постановка задачи для измерения НДС и обоснование параметров метода с использованием численного моделирования в CAE Fidesys; - Оценка з"
1866,1872,метода,Method,generic,Method,heuristic_word,,,,,,,0.85,4,"астности, Талнахского месторождения; - Постановка задачи для измерения НДС и обоснование параметров метода с использованием численного моделирования в CAE Fidesys; - Оценка зоны влияния выработки на НДС мас"
1875,1914,использованием численного моделирования,Model,generic,Model,heuristic_phrase,,,,,,,0.55,3,Талнахского месторождения; - Постановка задачи для измерения НДС и обоснование параметров метода с использованием численного моделирования в CAE Fidesys; - Оценка зоны влияния выработки на НДС массива с использованием численного моделиров
1917,1928,CAE Fidesys,Equipment,generic,Equipment,heuristic_phrase,,,,,,,0.55,3,адачи для измерения НДС и обоснование параметров метода с использованием численного моделирования в CAE Fidesys; - Оценка зоны влияния выработки на НДС массива с использованием численного моделирования; - Опреде
1944,1961,влияния выработки,Condition,generic,Condition,heuristic_phrase,,,,,,,0.55,2,боснование параметров метода с использованием численного моделирования в CAE Fidesys; - Оценка зоны влияния выработки на НДС массива с использованием численного моделирования; - Определение необходимой глубины бурения
1965,1968,НДС,Metric:НДС,specific,Metric,ontology,НДС,underground:StressStrainState,underground_mining,exact_phrase,,,1.0,0,метода с использованием численного моделирования в CAE Fidesys; - Оценка зоны влияния выработки на НДС массива с использованием численного моделирования; - Определение необходимой глубины бурения скважи
1969,1976,массива,RockMass,generic,RockMass,heuristic_word,,,,,,,0.85,5,"ода с использованием численного моделирования в CAE Fidesys; - Оценка зоны влияния выработки на НДС массива с использованием численного моделирования; - Определение необходимой глубины бурения скважин, обесп"
1979,2018,использованием численного моделирования,Model,generic,Model,heuristic_phrase,,,,,,,0.55,3,"льзованием численного моделирования в CAE Fidesys; - Оценка зоны влияния выработки на НДС массива с использованием численного моделирования; - Определение необходимой глубины бурения скважин, обеспечивающую отсутствие влияния выработки на"
2046,2053,глубины,Parameter,generic,Parameter,heuristic_word,,,,,,,0.85,2,"ияния выработки на НДС массива с использованием численного моделирования; - Определение необходимой глубины бурения скважин, обеспечивающую отсутствие влияния выработки на проводимые измерения; - Оценка возм"
2054,2069,бурения скважин,Process,generic,Process,heuristic_phrase,,,,,,,0.55,2,"работки на НДС массива с использованием численного моделирования; - Определение необходимой глубины бурения скважин, обеспечивающую отсутствие влияния выработки на проводимые измерения; - Оценка возможности развития"
2086,2104,отсутствие влияния,Result,generic,Result,heuristic_phrase,,,,,,,0.55,2,"ованием численного моделирования; - Определение необходимой глубины бурения скважин, обеспечивающую отсутствие влияния выработки на проводимые измерения; - Оценка возможности развития пластических деформаций, приводящи"
2105,2114,выработки,MineObject,generic,MineObject,heuristic_word,,,,,,,0.85,5,"моделирования; - Определение необходимой глубины бурения скважин, обеспечивающую отсутствие влияния выработки на проводимые измерения; - Оценка возможности развития пластических деформаций, приводящих к разруш"
2129,2138,измерения,Process,generic,Process,heuristic_word,,,,,,,0.85,4,"ение необходимой глубины бурения скважин, обеспечивающую отсутствие влияния выработки на проводимые измерения; - Оценка возможности развития пластических деформаций, приводящих к разрушению керна и корректные"
2161,2193,развития пластических деформаций,Condition,generic,Condition,heuristic_phrase,,,,,,,0.55,2,"скважин, обеспечивающую отсутствие влияния выработки на проводимые измерения; - Оценка возможности развития пластических деформаций, приводящих к разрушению керна и корректные места установки экстензометров в измерительном шпуре; -"
2208,2218,разрушению,Result,generic,Result,heuristic_word,,,,,,,0.85,1,"аботки на проводимые измерения; - Оценка возможности развития пластических деформаций, приводящих к разрушению керна и корректные места установки экстензометров в измерительном шпуре; - Интерпретация результато"
2219,2224,керна,Material,generic,Material,heuristic_word,,,,,,,0.85,20,"роводимые измерения; - Оценка возможности развития пластических деформаций, приводящих к разрушению керна и корректные места установки экстензометров в измерительном шпуре; - Интерпретация результатов изме"
2244,2268,установки экстензометров,Equipment,generic,Equipment,heuristic_phrase,,,,,,,0.55,2,"енка возможности развития пластических деформаций, приводящих к разрушению керна и корректные места установки экстензометров в измерительном шпуре; - Интерпретация результатов измерений напряженно деформированного состояния"
2294,2319,Интерпретация результатов,Process,generic,Process,heuristic_phrase,,,,,,,0.55,2,приводящих к разрушению керна и корректные места установки экстензометров в измерительном шпуре; - Интерпретация результатов измерений напряженно деформированного состояния с использованием численного моделирования в CAE Fid
2320,2329,измерений,Process,generic,Process,heuristic_word,,,,,,,0.85,5,ерна и корректные места установки экстензометров в измерительном шпуре; - Интерпретация результатов измерений напряженно деформированного состояния с использованием численного моделирования в CAE Fidesys . <!
